quote_date,item_id,p_mean,p25,p_median,p75,itemName,date,dateStata,dateISO,obs,year,month,quarter,_merge
200301,210102,.8552459,.63,.79,.95,"Bread",180,01-01-2003,"2003-01-01",103660,2003,1,1,"Matched (3)"
200302,210102,.7814563,.65,.75,.92,"Bread",181,01-02-2003,"2003-02-01",106569,2003,2,1,"Matched (3)"
200302,310109,2.130964,2,2.15,2.3,"Beer",181,01-02-2003,"2003-02-01",106569,2003,2,1,"Matched (3)"
200303,210102,.7726732,.65,.69,.92,"Bread",182,01-03-2003,"2003-03-01",107246,2003,3,1,"Matched (3)"
200303,310109,2.152282,2,2.15,2.3,"Beer",182,01-03-2003,"2003-03-01",107246,2003,3,1,"Matched (3)"
200304,310109,2.16706,2.04,2.15,2.3,"Beer",183,01-04-2003,"2003-04-01",96279,2003,4,2,"Matched (3)"
200304,210102,.8041177,.67,.83,.95,"Bread",183,01-04-2003,"2003-04-01",96279,2003,4,2,"Matched (3)"
200305,210102,.7965117,.67,.695,.95,"Bread",184,01-05-2003,"2003-05-01",99396,2003,5,2,"Matched (3)"
200305,310109,2.179781,2.05,2.2,2.32,"Beer",184,01-05-2003,"2003-05-01",99396,2003,5,2,"Matched (3)"
200306,310109,2.182412,2.05,2.2,2.35,"Beer",185,01-06-2003,"2003-06-01",100902,2003,6,2,"Matched (3)"
200306,210102,.8019318,.67,.825,.95,"Bread",185,01-06-2003,"2003-06-01",100902,2003,6,2,"Matched (3)"
200307,210102,.7919318,.67,.695,.95,"Bread",186,01-07-2003,"2003-07-01",101269,2003,7,3,"Matched (3)"
200307,310109,2.184813,2.05,2.2,2.35,"Beer",186,01-07-2003,"2003-07-01",101269,2003,7,3,"Matched (3)"
200308,210102,.7897647,.67,.69,.95,"Bread",187,01-08-2003,"2003-08-01",100534,2003,8,3,"Matched (3)"
200308,310109,2.184165,2.05,2.2,2.35,"Beer",187,01-08-2003,"2003-08-01",100534,2003,8,3,"Matched (3)"
