Country,GDP Per Capita,Life Expectancy
Belgium,"41,660.00",79.8
Bulgaria,"8,820.00",71.6
Czechia,"21,150.00",76.4
Denmark,"53,210.00",79.5
Germany,"41,800.00",79.0
Estonia,"20,960.00",74.5
Ireland,"72,400.00",80.8
Greece,"17,100.00",79.2
Spain,"26,440.00",81.1
France,"35,970.00",79.9
Croatia,"13,680.00",75.5
Italy,"30,080.00",81.4
Cyprus,"26,280.00",80.3
Latvia,"16,040.00",70.9
Lithuania,"17,500.00",71.6
Luxembourg,"100,360.00",80.2
Hungary,"15,000.00",73.1
Malta,"28,090.00",81.2
Netherlands,"46,880.00",80.6
Austria,"44,740.00",79.7
Poland,"13,870.00",74.1
Portugal,"20,840.00",78.7
Romania,"11,560.00",71.9
Slovenia,"23,230.00",78.7
Slovakia,"17,320.00",74.3
Finland,"43,440.00",79.3
Sweden,"46,390.00",81.5
Iceland,"61,490.00",81.7
Norway,"68,270.00",81.3
Switzerland,"75,150.00",82.1
