Country,GDP Per Capita,Life Expectancy
Belgium,41660.00,79.8
Bulgaria,8820.00,71.6
Czechia,21150.00,76.4
Denmark,53210.00,79.5
Germany,41800.00,79.0
Estonia,20960.00,74.5
Ireland,72400.00,80.8
Greece,17100.00,79.2
Spain,26440.00,81.1
France,35970.00,79.9
Croatia,13680.00,75.5
Italy,30080.00,81.4
Cyprus,26280.00,80.3
Latvia,16040.00,70.9
Lithuania,17500.00,71.6
Luxembourg,100360.00,80.2
Hungary,15000.00,73.1
Malta,28090.00,81.2
Netherlands,46880.00,80.6
Austria,44740.00,79.7
Poland,13870.00,74.1
Portugal,20840.00,78.7
Romania,11560.00,71.9
Slovenia,23230.00,78.7
Slovakia,17320.00,74.3
Finland,43440.00,79.3
Sweden,46390.00,81.5
Iceland,61490.00,81.7
Norway,68270.00,81.3
Switzerland,75150.00,82.1
