Entity,Year,Oil (% equivalent primary energy),Coal (% equivalent primary energy),Solar (% equivalent primary energy),Nuclear (% equivalent primary energy),Hydro (% equivalent primary energy),Wind (% equivalent primary energy),Gas (% equivalent primary energy),Other renewables (% equivalent primary energy)
Africa,1965,47.70093536,45.21755981,,0,5.747494698,0,1.334004521,
Africa,1966,49.32132339,43.13232422,,0,6.122061729,0,1.424285531,
Africa,1967,48.63989639,43.6409874,,0,6.325730801,0,1.393385172,
Africa,1968,48.68636322,42.97121811,,0,7.005292892,0,1.337120175,
Africa,1969,48.32214355,42.20096588,,0,7.956087589,0,1.520799756,
Africa,1970,48.64268494,40.45483017,,0,9.16205883,0,1.740429759,
Africa,1971,49.72192001,40.21431351,0,0,8.076340675,0,1.932457685,0.054967038
Africa,1972,50.67675781,38.12727737,0,0,8.695498466,0,2.448199987,0.052268587
Africa,1973,50.36769485,37.4661293,0,0,8.492557526,0,3.62390542,0.049722195
Africa,1974,49.63326263,37.20715332,0,0,9.219236374,0,3.891509295,0.048832215
Africa,1975,49.15946579,37.18091965,0,0,9.193145752,0,4.421216011,0.045256946
Africa,1976,49.48208618,36.47757339,0,0,9.371634483,0,4.623929977,0.0447792
Africa,1977,49.95758057,35.3355217,0,0,9.759941101,0,4.903596878,0.043357596
Africa,1978,50.67284012,33.06869507,0,0,9.476600647,0,6.738782883,0.04308062
Africa,1979,48.97230148,32.22182846,0,0,9.310170174,0,9.454936028,0.040758431
Africa,1980,48.32221222,32.13978577,0,0,8.446964264,0,11.05196762,0.039071396
Africa,1981,46.5860405,33.51128387,0,0,7.822822571,0,12.04316902,0.036679093
Africa,1982,45.75011826,34.67135239,0,0,7.340933323,0,12.20034313,0.037251741
Africa,1983,46.29251099,34.23137665,0,0,6.421346188,0,13.0195303,0.035237368
Africa,1984,45.70554733,35.51677322,0,0.518495381,6.124618053,0,12.09979534,0.034775518
Africa,1985,45.05474091,35.21581268,0,0.67470336,6.541610718,0,12.47471905,0.038416207
Africa,1986,43.25673294,35.23903656,0,1.092961788,6.617473602,0,13.70744705,0.086336285
Africa,1987,44.18719864,35.12353134,0,0.742014289,6.151005268,0,13.71258068,0.083667614
Africa,1988,43.02040863,35.25379944,0,1.179166913,6.276231766,0,14.19578648,0.074603975
Africa,1989,44.41036224,33.0183754,0,1.244424224,6.57538271,0,14.67815208,0.073298693
Africa,1990,43.69610214,33.5705719,0,0.91699481,6.47565937,0,15.24790573,0.09276852
Africa,1991,43.97998428,32.68762589,0,0.993392408,6.866535664,0,15.37725067,0.095208257
Africa,1992,44.15965271,32.40058899,0,0.99427253,6.45469141,0,15.8930006,0.097792745
Africa,1993,44.4384079,32.82632446,0,0.77521801,6.311710835,0.000222805,15.53902435,0.10908749
Africa,1994,44.45519638,32.54223251,0,1.00107789,6.196333408,0.000581109,15.71097374,0.093609102
Africa,1995,44.25544357,32.22684097,0,1.120262742,6.174328327,0.000651156,16.11369514,0.108773597
Africa,1996,44.08805847,31.86500359,0,1.138401508,6.278398514,0.00071551,16.49733353,0.132086441
Africa,1997,44.48646545,32.02299118,0,1.19828558,6.304668427,0.000710495,15.84340286,0.143470272
