Entity,Year,Oil (% equivalent primary energy),Coal (% equivalent primary energy),Solar (% equivalent primary energy),Nuclear (% equivalent primary energy),Hydro (% equivalent primary energy),Wind (% equivalent primary energy),Gas (% equivalent primary energy),Other renewables (% equivalent primary energy)
Norway,1965,27.99911118,4.120926857,0,0,67.87995911,0,0,0
Norway,1966,30.89222908,3.708673,0,0,65.39910126,0,0,0
Norway,1967,29.7827282,3.625626564,0,0,66.59164429,0,0,0
Norway,1968,29.5687027,3.294051409,0,0,67.13723755,0,0,0
Norway,1969,32.45501328,3.664402723,0,0,63.8805809,0,0,0
Norway,1970,34.91292191,3.576963425,0,0,61.51011658,0,0,0
Norway,1971,32.83609772,3.197398663,0,0,63.96649933,0,0,0
Norway,1972,32.4306221,3.273562431,0,0,64.29580688,0,0,0
Norway,1973,31.09671402,3.321101904,0,0,65.58218384,0,0,0
Norway,1974,28.0372467,3.648635864,0,0,68.31411743,0,0,0
Norway,1975,28.60674286,3.419190168,0,0,67.97406769,0,0,0
Norway,1976,29.58222961,3.084330559,0,0,67.33344269,0,0,0
Norway,1977,31.64398003,2.883611679,0,0,64.26859283,0,1.203809381,0
Norway,1978,31.37188911,2.648350716,0,0,64.1782608,0,1.801501274,0
Norway,1979,29.13390732,3.07970643,0,0,65.86464691,0,1.921738863,0
Norway,1980,29.58141327,2.996056795,0,0,65.25246429,0,2.170063734,0
Norway,1981,26.03471565,2.841875076,0,0,68.5978775,0,2.525534868,0
Norway,1982,25.31428337,2.765680552,0,0,69.16161346,0,2.75842309,0
Norway,1983,22.61278725,2.680118084,0,0,71.88227844,0,2.824815273,0
Norway,1984,23.21134567,2.968173742,0,0,71.13632965,0,2.684150457,0
Norway,1985,24.62188911,2.988467216,0,0,69.52552032,0,2.860459805,0.003668023
Norway,1986,27.06267548,2.72978735,0,0,66.95776367,0,3.230229378,0.019535979
Norway,1987,25.67373466,2.510176897,0,0,68.41642761,0,3.384641886,0.015018774
Norway,1988,23.38489532,2.499900103,0,0,69.96111298,0,4.135362625,0.018732885
Norway,1989,22.20308113,2.055809259,0,0,71.42314148,0,4.299078941,0.018885395
Norway,1990,21.14216614,1.905039668,0,0,72.31048584,0,4.50506115,0.137251243
Norway,1991,21.21669769,1.838762879,0,0,71.29399109,0,5.504491329,0.146055803
Norway,1992,20.75469017,1.754099488,0,0,71.71492767,0,5.625653744,0.150630653
Norway,1993,21.24947548,1.838177443,0,0,71.02111053,0,5.734985828,0.156256512
Norway,1994,22.44835281,2.145757914,0,0,68.85173798,0,6.374392033,0.179757982
Norway,1995,20.91584969,2.207767487,0,0,70.63079834,0,6.064260483,0.181321517
Norway,1996,24.41761971,2.393446207,0,0,65.80499268,0,7.176696301,0.207245767
Norway,1997,23.54269981,2.259159803,0,0,66.15766144,0,7.883678436,0.156795859
Norway,1998,22.6813488,2.357424498,0,0,67.04985809,0,7.742456436,0.168911025
Norway,1999,21.9055481,2.151963949,0,0,68.56311035,0.008059192,7.20494318,0.166375488
Norway,2000,18.31488037,1.988797784,0.00269878,0,72.23903656,0.015382709,7.298434734,0.140773654
Norway,2001,22.97922897,1.959686756,0.002968246,0,67.40835571,0.01609234,7.478624344,0.155049548
Norway,2002,21.38425064,1.633646131,0.00283291,0,69.14008331,0.020790868,7.672274113,0.146120384
Norway,2003,25.01060104,1.807255983,0.003728427,0,63.46152496,0.132239178,9.36610508,0.218538761
Norway,2004,24.03362465,2.00338459,0.003638066,0,63.84937668,0.152325556,9.724225044,0.233424917
Norway,2005,20.97354698,1.497800231,0.003165252,0,69.28440094,0.258897424,7.792621136,0.189559236
Norway,2006,23.42313957,1.402966261,0.003932292,0,66.13775635,0.352383047,8.434635162,0.241177201
Norway,2007,21.68881989,1.437250018,0.003643094,0,68.55581665,0.457531124,7.575419426,0.223518044
Norway,2008,20.88038254,1.446378946,0.003685514,0,69.21278381,0.454469621,7.61616993,0.224491492
Norway,2009,22.83361053,1.246993423,0.00412467,0,67.12265015,0.523445547,7.92188549,0.139016792
Norway,2010,24.30180931,1.770825505,0.004490902,0,64.75868988,0.487562209,8.187963486,0.219450563
Norway,2011,23.5430336,1.937526822,0.004619414,0,65.38489532,0.697382331,7.945307255,0.21322462
Norway,2012,20.79199791,1.695284843,0.004344476,0,69.150383,0.75522995,7.131844044,0.185165182
Norway,2013,22.94731903,1.713436127,0.005071771,0,66.29064941,0.972991228,7.542674065,0.239923552
Norway,2014,21.17515564,1.822519064,0.00579172,0,67.62277985,1.106916785,7.848858833,0.151787117
Norway,2015,20.96098137,1.617542148,0.006586043,0,67.48334503,1.23611176,8.261116982,0.149148345
Norway,2016,20.00528908,1.63980031,0.011480763,0,68.70018005,1.020600319,7.871788979,0.134024799
Norway,2017,19.81237411,1.706320286,0.019074578,0,67.75939178,1.362299919,8.223963737,0.120236516
Norway,2018,20.64774323,1.68881309,0.029277394,0,66.84571838,1.864583611,8.051249504,0.118472964
Norway,2019,21.27535248,1.761835456,0.053746905,0,64.04696655,2.827573299,8.863492012,0.156805217
Norway,2020,18.75433159,1.605591536,0.065970756,0,66.09645844,4.655678749,7.88257885,0.14495948
Norway,2021,18.48355865,1.610086918,0.090746194,0,65.90560913,5.419738293,7.540298939,0.142264545
