,State Name,2022 Population
1,Andaman & Nicobar Islands,"399,001"
2,Andhra Pradesh,"91,702,478"
3,Arunachal Pradesh,"1,711,947"
4,Assam,"35,998,752"
5,Bihar,"128,500,364"
6,Chandigarh,"1,158,040"
7,Chhattisgarh,"32,199,722"
8,Dadra and Nagar Haveli,"453,008"
9,Daman and Diu,"320,989"
10,Delhi,"19,301,096"
11,Goa,"1,521,992"
12,Gujarat,"70,400,153"
13,Haryana,"28,900,667"
14,Himachal Pradesh,"7,503,010"
15,Jammu and Kashmir,"14,999,397"
16,Jharkhand,"40,100,376"
17,Karnataka,"69,599,762"
18,Kerala,"34,698,876"
19,Lakshadweep,"66,001"
20,Madhya Pradesh,"85,002,417"
21,Maharashtra,"124,904,071"
22,Manipur,"3,436,948"
23,Meghalaya,"3,772,103"
24,Mizoram,"1,308,967"
25,Nagaland,"2,073,074"
26,Orissa,"47,099,270"
27,Puducherry,"1,646,050"
28,Punjab,"30,501,026"
29,Rajasthan,"79,502,477"
30,Sikkim,"658,019"
31,Tamil Nadu,"83,697,770"
32,Telangana,"38,157,311"
33,Tripura,"4,184,959"
34,Uttar Pradesh,"231,502,578"
35,Uttarakhand,"11,700,099"
36,West Bengal,"100,896,618"
